Job Role,Required Skills,Experience,Keywords
Machine Learning Engineer,"NLP, Scikit-Learn, Data Preprocessing, PyTorch, Model Deployment, Python, Computer Vision",5+ years,"Algorithm Development, AI, Big Data, Research"
Software Engineer,"Git, Python, Docker, Agile, Microservices, Java",7+ years,"Scalability, Code Quality, Unit Testing"
Cybersecurity Analyst,"Incident Response, SOC, Risk Assessment",7+ years,"Threat Intelligence, Mitigation, Compliance, SIEM, Forensics"
Network Engineer,"WAN, LAN, Routing, SDN, VPN, Network Security",10+ years,"Monitoring, Network Design, Troubleshooting, Capacity Planning"
IT Support Specialist,"Network Support, Active Directory, Remote Support, Customer Service, Linux, Software Installation, Windows",5+ years,"Ticketing, Technical Support"
DevOps Engineer,"Monitoring, Jenkins, Docker, Terraform, CI/CD, Kubernetes",10+ years,"Scalability, Cloud, Agile"
Machine Learning Engineer,"Model Deployment, Scikit-Learn, PyTorch, Deep Learning",8+ years,"Big Data, Algorithm Development, AI, Research"
Machine Learning Engineer,"Data Preprocessing, Deep Learning, Computer Vision, Scikit-Learn, PyTorch",9+ years,"Algorithm Development, AI, Research, Model Tuning, Big Data"
Data Scientist,"Machine Learning, TensorFlow, Python, R, Deep Learning",2+ years,"Predictive Modeling, ETL"
IT Support Specialist,"Linux, Network Support, Remote Support, Help Desk, Customer Service, Active Directory",1+ years,"Hardware, User Training, Incident Management"
DevOps Engineer,"Jenkins, Terraform, Monitoring, Docker, Ansible, CI/CD, Kubernetes",8+ years,"Infrastructure as Code, Automation, Scalability, Cloud, Agile"
Machine Learning Engineer,"Data Preprocessing, TensorFlow, Deep Learning, Scikit-Learn, Python",5+ years,"AI, Model Tuning, Research"
Data Scientist,"Data Visualization, Python, Statistics, TensorFlow, Deep Learning, PyTorch",10+ years,"Big Data, Data Mining, ETL, A/B Testing, Predictive Modeling"
Cloud Engineer,"CI/CD, Monitoring, AWS, Cloud Security, Kubernetes, Azure, Serverless",6+ years,"Infrastructure as Code, Cloud Migration"
Data Scientist,"TensorFlow, Python, R, PyTorch, SQL",2+ years,"ETL, Big Data, A/B Testing"
Cybersecurity Analyst,"SOC, Penetration Testing, Risk Assessment, Cryptography",7+ years,"SIEM, Mitigation, Threat Intelligence, Compliance, Forensics"
IT Support Specialist,"Network Support, Remote Support, Customer Service, Windows, Troubleshooting",3+ years,"Hardware, Ticketing, Technical Support, Incident Management, User Training"
Machine Learning Engineer,"Model Deployment, Computer Vision, Python, PyTorch, Deep Learning",2+ years,"Big Data, Algorithm Development"
Machine Learning Engineer,"Python, Deep Learning, PyTorch, Data Preprocessing, NLP, TensorFlow",7+ years,"Research, Algorithm Development, Big Data"
Data Scientist,"Python, Machine Learning, PyTorch, Statistics",2+ years,"ETL, Data Mining"
Data Scientist,"R, PyTorch, Python, Data Visualization, TensorFlow, Deep Learning",7+ years,"Data Mining, Predictive Modeling, ETL, A/B Testing, Big Data"
Network Engineer,"Firewalls, VPN, Cisco, Routing, Switching, WAN, LAN",4+ years,"Capacity Planning, Monitoring, Troubleshooting, QoS"
Software Engineer,"C++, Microservices, Docker, Agile, Java, Python, Spring Boot, Git",8+ years,"Code Quality, Agile Development"
Data Scientist,"Machine Learning, Python, TensorFlow, Statistics",8+ years,"Data Mining, Predictive Modeling, A/B Testing, ETL, Big Data"
Cloud Engineer,"AWS, Terraform, Monitoring, Serverless, Cloud Security",5+ years,"Automation, Infrastructure as Code, Scalability, Cloud Migration, DevOps"
Data Scientist,"Python, Machine Learning, Data Visualization, Statistics, PyTorch, R, SQL",10+ years,"A/B Testing, Data Mining, Predictive Modeling, Big Data"
Network Engineer,"WAN, Switching, Cisco, Routing",9+ years,"Troubleshooting, Monitoring, Capacity Planning"
Software Engineer,"Docker, C++, Agile, REST APIs, Git",3+ years,"Agile Development, Scalability, Code Quality, Unit Testing"
Cloud Engineer,"CI/CD, Monitoring, Docker, Azure",4+ years,"Infrastructure as Code, Cloud Migration"
Machine Learning Engineer,"Scikit-Learn, Python, PyTorch, Model Deployment, Computer Vision, Data Preprocessing, Deep Learning, TensorFlow, NLP",8+ years,"Model Tuning, Research, AI, Algorithm Development"
Cybersecurity Analyst,"Network Security, Incident Response, Vulnerability Management, Penetration Testing, Cryptography",9+ years,"Compliance, Forensics, Mitigation"
DevOps Engineer,"Ansible, Kubernetes, Jenkins, Linux, Docker, Terraform, AWS, Monitoring",3+ years,"Infrastructure as Code, Agile, Cloud, Automation, Scalability"
Cybersecurity Analyst,"Vulnerability Management, Cryptography, Risk Assessment, Network Security, SOC, Incident Response, Penetration Testing",6+ years,"Compliance, Forensics, Mitigation, SIEM"
Network Engineer,"Network Security, LAN, WAN, VPN, Cisco, Firewalls, Routing, Switching, SDN",3+ years,"Capacity Planning, QoS, Monitoring, Troubleshooting"
Cloud Engineer,"Docker, Cloud Security, Kubernetes, Serverless",8+ years,"Cloud Migration, Automation, Infrastructure as Code"
IT Support Specialist,"Software Installation, Customer Service, Windows, Linux, Help Desk, Remote Support, Troubleshooting, Network Support",6+ years,"Hardware, User Training, Incident Management, Technical Support, Ticketing"
Cloud Engineer,"Serverless, AWS, Kubernetes, Monitoring, Cloud Security, Terraform, CI/CD",7+ years,"Scalability, DevOps, Cloud Migration"
DevOps Engineer,"AWS, Kubernetes, Ansible, Jenkins, Terraform, CI/CD, Monitoring",9+ years,"Cloud, Scalability"
IT Support Specialist,"Troubleshooting, Network Support, Software Installation, Help Desk",2+ years,"Ticketing, Technical Support"
Machine Learning Engineer,"TensorFlow, PyTorch, NLP, Data Preprocessing, Model Deployment, Scikit-Learn, Computer Vision",4+ years,"Algorithm Development, Big Data, Research"
Cloud Engineer,"Terraform, Serverless, Monitoring, Cloud Security, Docker, AWS",8+ years,"Infrastructure as Code, Cloud Migration"
Software Engineer,"Spring Boot, Microservices, REST APIs, C++, Agile, Git",5+ years,"Unit Testing, Code Quality, Design Patterns"
Cybersecurity Analyst,"SOC, Risk Assessment, Penetration Testing, Network Security",5+ years,"Forensics, Mitigation"
IT Support Specialist,"Windows, Remote Support, Help Desk, Linux, Software Installation, Customer Service, Active Directory",8+ years,"Ticketing, User Training, Technical Support, Incident Management"
Data Scientist,"Data Visualization, Python, R, SQL, Machine Learning, Deep Learning, PyTorch",1+ years,"Big Data, Data Mining"
Cybersecurity Analyst,"Network Security, Risk Assessment, Incident Response, Cryptography, SOC",7+ years,"SIEM, Threat Intelligence, Mitigation"
Cybersecurity Analyst,"Risk Assessment, Incident Response, Penetration Testing, Network Security, Vulnerability Management",2+ years,"SIEM, Compliance, Mitigation, Forensics"
IT Support Specialist,"Active Directory, Customer Service, Troubleshooting, Network Support",7+ years,"Ticketing, Incident Management, User Training, Hardware"
Network Engineer,"Firewalls, SDN, Network Security, LAN, WAN, Switching, VPN, Cisco, Routing",12+ years,"Capacity Planning, Monitoring, Troubleshooting, QoS"
Cloud Engineer,"CI/CD, Cloud Security, Kubernetes, Docker, AWS, Monitoring, Terraform, Azure, Serverless",3+ years,"DevOps, Automation, Infrastructure as Code, Scalability"
IT Support Specialist,"Troubleshooting, Windows, Network Support, Customer Service, Linux, Help Desk, Active Directory, Software Installation",4+ years,"Hardware, Ticketing"
Network Engineer,"VPN, Network Security, WAN, SDN",10+ years,"Monitoring, Capacity Planning, Network Design"
Cybersecurity Analyst,"Network Security, Incident Response, Cryptography, Risk Assessment, SOC",4+ years,"Compliance, SIEM, Mitigation, Forensics"
DevOps Engineer,"CI/CD, Monitoring, Kubernetes, Docker, Linux, Jenkins, AWS, Terraform",7+ years,"Scalability, Automation, Cloud, Infrastructure as Code, Agile"
Network Engineer,"Switching, VPN, Routing, SDN, Cisco, Network Security",8+ years,"QoS, Network Design"
Data Scientist,"PyTorch, Data Visualization, Machine Learning, TensorFlow, Deep Learning, Statistics, R, SQL, Python",4+ years,"Predictive Modeling, ETL, A/B Testing, Data Mining"
Data Scientist,"PyTorch, Python, TensorFlow, Statistics, R",6+ years,"Predictive Modeling, A/B Testing, ETL"
Machine Learning Engineer,"Scikit-Learn, Deep Learning, TensorFlow, Data Preprocessing, PyTorch, Model Deployment, NLP, Python",5+ years,"AI, Research, Model Tuning"
Machine Learning Engineer,"Deep Learning, PyTorch, TensorFlow, Data Preprocessing, Computer Vision, Model Deployment",4+ years,"Model Tuning, Big Data, Algorithm Development, AI, Research"
IT Support Specialist,"Windows, Customer Service, Troubleshooting, Remote Support, Active Directory, Linux, Software Installation, Help Desk, Network Support",4+ years,"Ticketing, User Training, Technical Support"
Cloud Engineer,"Cloud Security, Serverless, CI/CD, AWS, Docker",6+ years,"Scalability, Cloud Migration, DevOps"
Cybersecurity Analyst,"Incident Response, Penetration Testing, Network Security, Vulnerability Management, Cryptography, Risk Assessment",10+ years,"Mitigation, Threat Intelligence, Compliance"
Software Engineer,"Python, Spring Boot, Git, Java, Docker, Agile",7+ years,"Scalability, Design Patterns"
Machine Learning Engineer,"Model Deployment, TensorFlow, NLP, Data Preprocessing, Computer Vision",6+ years,"AI, Model Tuning, Big Data"
Software Engineer,"Microservices, C++, Java, Docker, Spring Boot, REST APIs",2+ years,"Agile Development, Code Quality, Design Patterns, Unit Testing"
Cybersecurity Analyst,"Incident Response, Network Security, Vulnerability Management, SOC",7+ years,"SIEM, Threat Intelligence, Forensics"
DevOps Engineer,"Kubernetes, Jenkins, AWS, Ansible, CI/CD, Monitoring, Docker, Terraform",8+ years,"Agile, Automation, Scalability, Infrastructure as Code, Cloud"
Cloud Engineer,"Docker, Terraform, AWS, Azure, Kubernetes",6+ years,"Infrastructure as Code, Automation, Cloud Migration"
Data Scientist,"Deep Learning, Machine Learning, PyTorch, SQL, Data Visualization, Statistics, TensorFlow, R, Python",5+ years,"A/B Testing, Data Mining"
Software Engineer,"C++, Docker, Git, Java, Microservices, Agile, Python, Spring Boot, REST APIs",2+ years,"Agile Development, Code Quality"
DevOps Engineer,"Ansible, CI/CD, AWS, Terraform, Linux, Monitoring, Docker",9+ years,"Cloud, Infrastructure as Code, Automation, Agile, Scalability"
Machine Learning Engineer,"PyTorch, Data Preprocessing, NLP, TensorFlow, Computer Vision, Model Deployment, Deep Learning",7+ years,"Algorithm Development, Model Tuning, Research, AI"
IT Support Specialist,"Active Directory, Windows, Linux, Troubleshooting",6+ years,"Hardware, Incident Management, Ticketing, User Training"
Data Scientist,"Deep Learning, Data Visualization, R, Machine Learning",6+ years,"Data Mining, Predictive Modeling, ETL"
DevOps Engineer,"Monitoring, Ansible, Docker, Linux, Kubernetes, Jenkins, CI/CD",8+ years,"Agile, Infrastructure as Code"
Cybersecurity Analyst,"Cryptography, Vulnerability Management, Incident Response, Network Security, SOC, Penetration Testing, Risk Assessment",12+ years,"Compliance, Threat Intelligence, SIEM, Forensics"
Software Engineer,"Python, C++, Java, Microservices, Git, Spring Boot, REST APIs, Agile, Docker",8+ years,"Scalability, Agile Development, Unit Testing"
DevOps Engineer,"Ansible, Docker, Kubernetes, Linux, CI/CD, Jenkins",5+ years,"Infrastructure as Code, Cloud"
Network Engineer,"WAN, Switching, Routing, Network Security, Firewalls, LAN, VPN",9+ years,"Capacity Planning, Troubleshooting, Monitoring, QoS, Network Design"
Data Scientist,"PyTorch, Statistics, R, SQL, Python, Machine Learning, TensorFlow, Data Visualization",6+ years,"Big Data, ETL, A/B Testing, Data Mining"
Machine Learning Engineer,"Deep Learning, TensorFlow, Python, Model Deployment, Data Preprocessing, NLP",6+ years,"AI, Algorithm Development, Model Tuning, Research, Big Data"
Cybersecurity Analyst,"SOC, Penetration Testing, Risk Assessment, Cryptography, Vulnerability Management, Network Security",9+ years,"Forensics, Mitigation, Threat Intelligence, SIEM, Compliance"
DevOps Engineer,"CI/CD, Jenkins, Linux, Terraform, Ansible, Monitoring",3+ years,"Infrastructure as Code, Automation, Agile, Scalability, Cloud"
IT Support Specialist,"Linux, Network Support, Help Desk, Windows, Troubleshooting",4+ years,"Ticketing, Technical Support, User Training, Hardware"
IT Support Specialist,"Active Directory, Remote Support, Linux, Help Desk, Customer Service, Network Support, Troubleshooting, Software Installation, Windows",6+ years,"Incident Management, User Training, Technical Support, Hardware, Ticketing"
Network Engineer,"Switching, Routing, Firewalls, SDN, Network Security, Cisco",9+ years,"Network Design, Monitoring, Capacity Planning, QoS, Troubleshooting"
DevOps Engineer,"Monitoring, AWS, CI/CD, Kubernetes, Linux",8+ years,"Infrastructure as Code, Cloud, Automation"
Machine Learning Engineer,"Deep Learning, Scikit-Learn, Computer Vision, NLP, Model Deployment, Data Preprocessing",4+ years,"AI, Algorithm Development, Big Data, Research"
Data Scientist,"Machine Learning, Data Visualization, R, Python, Statistics, TensorFlow",7+ years,"Big Data, A/B Testing, ETL"
IT Support Specialist,"Help Desk, Software Installation, Troubleshooting, Network Support",5+ years,"Technical Support, User Training, Incident Management, Ticketing"
Network Engineer,"WAN, Network Security, VPN, Firewalls, LAN, Routing",10+ years,"Network Design, QoS"
Data Scientist,"SQL, Deep Learning, TensorFlow, R, Machine Learning, Data Visualization, PyTorch, Statistics",10+ years,"Predictive Modeling, ETL, Big Data, Data Mining"
Cybersecurity Analyst,"Incident Response, Cryptography, Vulnerability Management, Network Security, Penetration Testing, SOC, Risk Assessment",10+ years,"Forensics, Compliance, SIEM, Threat Intelligence, Mitigation"
Network Engineer,"Switching, Routing, VPN, Firewalls, LAN, SDN",10+ years,"Capacity Planning, Monitoring, Network Design"
Network Engineer,"Cisco, Firewalls, Switching, Routing",10+ years,"Troubleshooting, Capacity Planning, QoS, Network Design"
Machine Learning Engineer,"TensorFlow, Data Preprocessing, NLP, Deep Learning, Scikit-Learn, PyTorch, Model Deployment, Computer Vision, Python",8+ years,"Research, AI, Model Tuning, Algorithm Development, Big Data"
Software Engineer,"Spring Boot, Agile, Java, Docker",8+ years,"Scalability, Agile Development"
Machine Learning Engineer,"TensorFlow, PyTorch, Computer Vision, NLP",6+ years,"Algorithm Development, Model Tuning, Big Data, Research, AI"
DevOps Engineer,"Ansible, Jenkins, Docker, AWS, Monitoring, Kubernetes",4+ years,"Agile, Cloud, Infrastructure as Code"
Software Engineer,"REST APIs, Git, Java, Spring Boot, Agile, C++",6+ years,"Scalability, Design Patterns"
Software Engineer,"REST APIs, Microservices, Python, Spring Boot, Git, Agile, Docker, Java, C++",2+ years,"Code Quality, Agile Development, Unit Testing"
DevOps Engineer,"Jenkins, Kubernetes, Terraform, Docker, Linux",8+ years,"Infrastructure as Code, Automation, Scalability, Cloud, Agile"
Cybersecurity Analyst,"Incident Response, Network Security, Penetration Testing, Risk Assessment, Cryptography",9+ years,"SIEM, Forensics, Mitigation"
